ind,node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core,weekday_in_core_lvl,weekday_out_core_lvl,weekend_in_core_lvl,weekend_out_core_lvl,weekday_ksc_ent_in,weekday_ksc_ent_out,weekend_ksc_ent_in,weekend_ksc_ent_out
128,MARGARET DRIVE,6779.0,7072.0,5862,6080,0,0,0,0,0.890409979040395,0.9204329382375182,0.878695526480771,0.8193522749541873
129,ROBERTSON QUAY,6779.0,6374.0,5862,5813,0,0,0,0,0.9222196815244481,0.8076004788890238,0.9309431918575537,0.8026934277031921
130,LORONG 8 TOA PAYOH,6785.0,6325.0,5832,5323,0,0,0,0,0.7349733528982699,0.9440351840335194,0.6694125054720912,0.9346118094797746
131,CHATSWORTH,6790.0,7072.0,5862,6237,0,0,0,0,0.9509446459952408,0.8520359273479347,0.958004270827011,0.7818729117198145
132,KALLANG WAY,6956.0,7632.0,4329,5813,0,1,0,0,0.37341088043594867,0.5725309612206236,0.45878589130243724,0.5421995321207919
133,KAMPONG BUGIS,7026.0,6702.0,6727,6167,0,0,1,0,0.3568518680919264,0.6605640502085927,0.41867188195724425,0.6476981129832065
134,TELOK BLANGAH RISE,7115.0,7072.0,6231,6080,0,0,0,0,0.753171666539873,0.7464124544387367,0.8055089895706946,0.7925498449645225
135,TIONG BAHRU,7115.0,7072.0,6530,6080,0,0,0,0,0.6246914891782316,0.8066482634745249,0.6622706087772591,0.8247276389321491
136,PEARL'S HILL,7115.0,7632.0,6237,6786,0,1,0,1,0.763080205023715,0.8299269984690146,0.7706589725784372,0.8148795146217879
137,HOLLAND DRIVE,7115.0,7631.0,6237,6511,0,1,0,1,0.9055144074359733,0.7065019664745726,0.9181417842553722,0.6999669341052633
138,TANGLIN HALT,7115.0,7412.0,6237,6151,0,0,0,0,0.9254903591488148,0.9362466106569901,0.8953779421460343,0.9399625134210271
139,TUAS PROMENADE,7187.0,7083.0,6411,6306,0,0,0,1,0.902609535890329,0.945440592816904,0.8728434400355253,0.9876775802092517
140,BUKIT BATOK WEST,7302.0,5687.0,6378,5253,0,0,0,0,0.6662761578786971,0.866513128960919,0.5558926891469458,0.8408981003988378
141,HILLVIEW,7302.0,7469.0,6237,6237,0,0,0,0,0.7631082440721354,0.47931573012280015,0.7916142941135933,0.49080878979537035
142,PENG SIANG,7459.0,5174.0,6536,4237,0,0,0,0,0.7631934990768724,0.6173495553338824,0.7565085177971111,0.6132066693444691
143,DAIRY FARM,7567.0,8139.0,6237,6431,0,1,0,1,0.7101722913040778,0.3281150355426134,0.6045932365424406,0.30831462859620784
144,CLEMENTI WEST,7567.0,5331.0,6650,4794,0,0,0,0,0.2305220510706194,0.809107408014091,0.20094821879945868,0.4077768076974758
145,TOH GUAN,7567.0,7072.0,6789,6237,0,0,1,0,0.6356905106493091,0.7510263768438922,0.6037433990283337,0.6902607492193514
146,KEAT HONG,7567.0,5174.0,6536,4237,0,0,0,0,0.7841764825894979,0.7769279825902561,0.7548220346988208,0.7515999907521168
147,TUAS BAY,7698.0,7544.0,6414,6085,0,1,0,0,0.9436913767424834,0.8275592359246595,0.948629478620809,0.9311587517328128
148,TUAS NORTH,7698.0,7786.0,6054,6306,0,1,0,1,0.6040754833691903,0.6436140659727241,0.729078619481725,0.6765265909383668
149,MALCOLM,7782.0,7072.0,6237,5813,0,0,0,0,0.6992518241801089,0.6530999208634981,0.6674020603916458,0.646280616633787
150,BOON TECK,7782.0,7072.0,6802,5957,0,0,1,0,0.574112391163921,0.708397850062621,0.5761179032227715,0.6742002436447357
151,YIO CHU KANG WEST,7807.0,7072.0,6727,5813,0,0,1,0,0.46944823970626104,0.8380253097848763,0.4455467701537768,0.8283658712584488
152,YUHUA WEST,7828.0,8358.0,6789,7518,1,1,1,1,0.5519459515340266,0.6921055948875712,0.35531796838507473,0.6358096062780457
153,KAMPONG TIONG BAHRU,7834.0,7072.0,6730,6080,1,0,1,0,0.6299964473865134,0.7266399227884454,0.6362465554380059,0.7573149076167254
154,KEBUN BAHRU,7834.0,7072.0,6727,5813,1,0,1,0,0.7589941273242256,0.6522199971717854,0.33547172064396436,0.6315177826445932
155,CECIL,7914.0,7632.0,4172,4281,1,1,0,0,0.8210417848945788,0.8477232094388737,0.7349224578831571,0.8642537104619454
156,SENNETT,7952.0,7303.0,6726,5957,1,0,1,0,0.48307251075065005,0.6099268497884872,0.39084307693585874,0.6678360624169305
157,TOWNSVILLE,7958.0,8460.0,7222,7841,1,1,1,1,0.35153923514124,0.9023382439346995,0.2694220658068043,0.8598998419391758
158,EVERTON PARK,8081.0,7072.0,6883,6080,1,0,1,0,0.5720471806975501,0.980629549565776,0.5601104825178566,0.9861863124780659
159,HENDERSON HILL,8084.0,8778.0,6883,7692,1,1,1,1,0.7775821872810629,0.6743701965900034,0.786526643395137,0.6884769409515961
160,DOVER,8095.0,7469.0,6727,5998,1,0,1,0,0.6972108492067007,0.33439677339296536,0.7204463064793007,0.3094234351335332
161,YUNNAN,8095.0,8358.0,7114,7504,1,1,1,1,0.3922345158117941,0.47945008401278416,0.2949523395757923,0.36423074993931925
162,TAI SENG,8124.0,7788.0,6706,6331,1,1,0,1,0.2983409605597512,0.7144360293164521,0.22485116862699872,0.30433298701832334
163,UPPER PAYA LEBAR,8124.0,7469.0,7222,6331,1,0,1,1,0.202958655978412,0.47596129943216686,0.6219895399794878,0.5073846816010918
164,BOON LAY PLACE,8142.0,9188.0,7392,8396,1,1,1,1,0.400531905343805,0.3220847889226693,0.33161885368424043,0.2689421422585144
165,NORTH COAST,8142.0,7632.0,6918,6431,1,1,1,1,0.8650851745841363,0.6067967371826337,0.8542210580543383,0.5384575480538784
166,GUL CIRCLE,8158.0,8903.0,6306,6953,1,1,0,1,0.18370959584709143,0.09104302150554569,0.2445745928904314,0.05549251565946091
