ind,node,weekday_spreader,weekday_susceptible,weekend_spreader,weekend_susceptible
133,PIONEER SECTOR,0,0,0.018232574104403,0
134,SAFTI,0.022472650490305,0.047424945066603,0.020475608186631,0.06012482462004
135,ALJUNIED,0.538024764351954,0.477220422519278,0.581534233450061,0.498088257594272
136,GEYLANG EAST,0.449313946131262,0.43042801108903,0.470978184998909,0.491919169951475
137,BENDEMEER,0.398020780992544,0.371541803946239,0.372577805639855,0.32685442163794
138,MACPHERSON,0.367906926481813,0.348662299123213,0.387879330983159,0.336923213872352
139,KAMPONG UBI,0.358704692215904,0.350205625655316,0.296128568030447,0.320945035482953
140,BOON KENG,0.241373651110306,0.295136403489028,0.272790253187067,0.301439991495132
141,KALLANG BAHRU,0.241057848322028,0.336542350098967,0.213058884651207,0.286608416099771
142,JOO SENG,0.386651991753391,0.29570030095935,0.278498799813107,0.254633087964695
143,MARINE PARADE,0.355492629447209,0.342289957960785,0.36272738888363,0.342688498411621
144,GEYLANG BAHRU,0.237232267390566,0.303485035359813,0.21865829648452,0.264668369596687
145,POTONG PASIR,0.367311252136241,0.354839885508633,0.344857513644447,0.308730926928132
146,KATONG,0.195521923199549,0.236323824523291,0.195545780323998,0.231174153135385
147,SENNETT,0.270131405033116,0.259513596837494,0.276253178622214,0.23186744696125
148,KALLANG WAY,0.268979307846495,0.186819946215893,0.210617112387866,0.157018923333169
149,TANJONG RHU,0.260951859140618,0.264608273377881,0.297255049987657,0.273034266181913
150,MOUNTBATTEN,0.199704682620374,0.18538573579349,0.201179187629082,0.176654476521354
151,WOODLEIGH,0.180789880578111,0.143716042648916,0.175893104050774,0.139324007625992
152,KAMPONG BUGIS,0.200230677171446,0.169005431356851,0.212648707189635,0.189174383544291
153,CLEMENTI CENTRAL,0.496123394942325,0.441979432212948,0.521525590084855,0.484765051474403
154,CLEMENTI NORTH,0.471545992452928,0.558398042549199,0.484234609063246,0.517037736444279
155,ONE NORTH,0.50106233413064,0.49957792924964,0.419949212124077,0.420129243936796
156,MEI CHIN,0.359013482873172,0.428898155667533,0.374521766461815,0.429184488084994
157,COMMONWEALTH,0.385214045720629,0.413695251344809,0.381989685965821,0.410535403370645
158,NATIONAL UNIVERSITY OF S'PORE,0.346990657627729,0.331855378778443,0.254813159338744,0.233745907167019
159,SINGAPORE POLYTECHNIC,0.421863018574745,0.308380177426457,0.35526233757307,0.255998981395211
160,CLEMENTI WOODS,0.293701923182032,0.23547473799205,0.289842064489585,0.244855132715491
161,CLEMENTI WEST,0.240583987458579,0.179220788447449,0.202486847837243,0.182728059572814
162,DOVER,0.165063320542339,0.246523343033015,0.158189606712322,0.257292732414469
163,HOLLAND ROAD,0.350008088745205,0.352240101773934,0.323754242088648,0.318588985495472
164,TANGLIN HALT,0.267701146270266,0.29287687070736,0.30662237404682,0.283970493364695
165,HOLLAND DRIVE,0.245889770599016,0.24187767127939,0.274471117604538,0.287520948644289
166,PASIR PANJANG 1,0.385578326014825,0.329092622661387,0.367021006836163,0.305849937475037
167,LEEDON PARK,0.324106033523291,0.31302923459227,0.347300275374261,0.345091313815094
